PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,2,female,21.2,1,1,31.92,S
2,1,2,male,60.0,0,1,9.4,S
3,1,1,male,53.3,0,1,3.89,Q
4,0,3,female,40.2,1,0,10.54,C
5,0,3,male,25.2,2,0,57.33,C
6,0,3,female,46.8,0,0,108.42,S
7,0,1,female,14.1,1,0,53.56,Q
8,1,3,male,45.1,0,0,30.0,S
9,0,3,female,43.0,1,1,120.38,S
10,1,3,male,27.9,0,0,70.54,Q
11,0,3,male,45.9,1,3,42.67,S
12,1,3,male,23.7,1,0,1.55,S
13,1,3,male,12.3,0,0,13.57,S
14,0,2,male,43.7,0,0,14.74,S
15,0,3,male,28.8,1,0,17.06,S
16,0,1,female,38.4,0,0,19.73,S
17,0,1,female,55.5,2,0,112.12,Q
18,0,2,female,19.9,0,0,54.17,C
19,0,1,male,28.0,2,0,47.1,S
20,0,2,male,52.0,1,0,22.24,C
21,0,1,male,39.4,0,0,16.47,S
22,0,1,male,20.2,0,0,5.09,S
23,0,3,male,16.6,0,0,24.17,S
24,0,1,female,22.6,1,0,9.19,S
25,0,3,male,19.7,1,1,19.84,S
26,1,1,male,33.3,0,0,6.8,S
27,0,3,male,31.1,0,1,16.86,S
28,0,3,male,33.9,0,0,1.76,S
29,0,3,male,18.2,0,0,0.24,S
30,0,3,male,29.0,0,0,81.58,S
31,0,1,female,1.2,1,0,41.01,S
32,0,3,male,32.0,1,0,35.44,S
33,0,3,female,46.5,1,0,28.84,S
34,1,3,male,10.1,1,0,51.89,Q
35,1,3,male,36.8,1,0,53.3,Q
36,1,2,female,21.4,0,1,109.49,C
37,0,3,male,41.2,1,0,11.21,S
38,0,2,male,32.2,0,1,61.52,C
39,1,3,female,35.7,0,0,189.13,C
40,0,1,male,30.9,0,0,1.18,S
41,0,3,male,48.6,1,0,18.74,C
42,0,1,female,34.9,1,0,22.91,C
43,0,1,female,20.1,0,0,69.0,S
44,1,3,male,31.4,0,0,0.55,S
45,0,3,male,24.8,0,1,36.51,S
46,1,3,female,32.3,2,0,89.24,S
47,0,1,male,24.1,0,1,6.39,S
48,0,1,male,20.5,0,0,4.91,C
